question,opt1,opt2,opt3,opt4,answer,explanation
Unless you ______ hard you will fail.,work,don't work,will work,worked,work,'Unless' means 'if not' so the verb is usually positive.
The train ______ at 9:00 PM.,leaves,leave,is leaving,left,leaves,Use present simple for scheduled events (timetables).
By this time next year I ______ my degree.,will finish,have finished,will have finished,finish,will have finished,Use future perfect for actions completed before a specific future time.
He said that he ______ busy.,is,was,has been,will be,was,Backshift the tense in reported speech (is -> was).
She asked me where ______.,was I,I was,am I,I am,I was,In reported questions the subject comes before the verb.
The house ______ by my grandfather.,built,was built,is built,has built,was built,Passive voice: was + past participle.
The letter ______ yesterday.,sent,was sent,is sent,has been sent,was sent,Past passive voice with a specific past time marker.
English ______ all over the world.,speaks,is spoken,spoke,has spoken,is spoken,Passive voice for general truths.
I wish I ______ rich.,am,was,were,have been,were,Use 'were' for hypothetical wishes about the present.
It's time we ______ home.,go,went,gone,are going,went,After 'It's time' use the past simple to imply urgency.
I'd rather you ______ smoke here.,don't,didn't,not,won't,didn't,Use past simple after 'would rather' when the subject changes.
She looks forward to ______ you.,see,seeing,saw,seen,seeing,After 'look forward to' use the gerund (-ing form).
Would you mind ______ the window?,open,opening,to open,opened,opening,After 'mind' use the gerund.
He stopped ______ to smoke.,working,work,to work,worked,working,Stopped working means he ceased the activity.
He stopped ______ a cigarette.,smoking,smoke,to smoke,smoked,to smoke,Stopped to smoke means he paused another activity to smoke.
The police ______ investigating the crime.,is,are,was,has,are,'Police' is a plural noun.
Mathematics ______ difficult for some students.,is,are,were,have,is,Subjects ending in 's' like Mathematics are singular.
Ten miles ______ a long distance to walk.,is,are,were,have,is,Distances/amounts are treated as singular units.
Each of the students ______ a book.,has,have,having,are having,has,'Each' takes a singular verb.
Everyone ______ happy about the news.,was,were,have been,are,was,'Everyone' is singular.
We ______ leave now or we'll be late.,must,can,may,might,must,Use 'must' for strong obligation/necessity.
You ______ smoke in the hospital.,don't have to,mustn't,needn't,shouldn't,mustn't,Use 'mustn't' for prohibition.
He ______ be at home; his lights are off.,can't,mustn't,shouldn't,needn't,can't,Use 'can't' for logical impossibility.
You ______ better see a doctor.,should,had,would,must,had,The phrase is 'had better'.
I am used ______ up early.,to get,get,getting,to getting,to getting,'Be used to' is followed by a gerund.
I used ______ tennis when I was young.,to play,play,playing,to playing,to play,'Used to' for past habits follows the infinitive.
Despite ______ sick he went to work.,be,being,of being,was,being,After 'despite' use a gerund or noun phrase.
Although he was sick ______ he went to work.,but,yet,(no word needed),still,(no word needed),'Although' connects the clauses; no other conjunction is needed.
She is the woman ______ car was stolen.,who,whom,whose,which,whose,Use 'whose' for possession.
The book ______ I bought is interesting.,who,whom,which,whose,which,Use 'which' for things.
The man ______ I met was nice.,who,which,whose,what,who,Use 'who' for people (subject/object).
Did you remember ______ the door?,lock,locking,to lock,locked,to lock,Remember to do something (future oriented relative to memory).
I remember ______ him last year.,meet,to meet,meeting,met,meeting,Remember doing something (past memory).
Let's go for a walk ______?,shall we,will we,do we,don't we,shall we,The question tag for 'Let's' is 'shall we'.
She is a doctor ______?,isn't she,is she,doesn't she,didn't she,isn't she,Positive statement gets a negative tag.
He hardly ever speaks ______?,does he,doesn't he,did he,didn't he,does he,'Hardly' makes the sentence negative so the tag is positive.
No sooner had I arrived ______ the train left.,when,than,then,before,than,'No sooner' is always followed by 'than'.
Hardly had I arrived ______ the rain started.,when,than,then,after,when,'Hardly' is followed by 'when'.
Either you or he ______ to blame.,is,are,were,have,is,Verb agrees with the subject closest to it (he).
Neither the players nor the coach ______ ready.,is,are,were,have,is,Verb agrees with the closest subject (coach).
The number of students ______ increasing.,is,are,were,have,is,'The number' takes a singular verb.
A number of students ______ absent.,is,are,was,has,are,'A number of' takes a plural verb.
He acts as if he ______ the boss.,is,was,were,has been,were,Use 'were' after 'as if' for unreal situations.
If it rains we ______ cancel the picnic.,would,will,could,might,will,First conditional: If + present simple ... will + verb.
If I had known I ______ you.,would help,will help,would have helped,helped,would have helped,Third conditional: If + past perfect ... would have + past participle.
He is accused ______ theft.,with,of,for,in,of,Correct preposition is 'accused of'.
She insisted ______ paying for dinner.,on,in,to,for,on,Correct preposition is 'insisted on'.
He is liable ______ his debts.,for,to,with,on,for,Correct preposition is 'liable for'.
We must conform ______ the rules.,with,to,for,on,to,Correct preposition is 'conform to'.
Please abstain ______ smoking.,of,from,with,in,from,Correct preposition is 'abstain from'.
He is innocent ______ the crime.,of,from,with,for,of,Correct preposition is 'innocent of'.
I will avail myself ______ this opportunity.,with,of,for,in,of,Reflexive 'avail' takes 'of'.
This is the ______ painting in the museum.,more beautiful,most beautiful,beautifulest,beautiful,most beautiful,Superlative of multi-syllable adjectives uses 'most'.
He runs ______ than his brother.,fast,faster,more fast,fastest,faster,Comparative of 'fast' is 'faster'.
She is the ______ of the two sisters.,smart,smartest,smarter,more smart,smarter,When comparing only two use the comparative form even with 'the'.
Who is the ______ person in your family?,old,older,oldest,elder,oldest,Superlative for age in a group.
I have ______ money than you.,less,fewer,lesser,few,less,Use 'less' with uncountable nouns (money).
I have ______ apples than you.,less,fewer,lesser,least,fewer,Use 'fewer' with countable nouns (apples).
Don't give up ______.,try,to try,trying,tried,trying,Prepositions (up) are followed by gerunds.
He prevented me ______ going.,to,from,of,with,from,Correct structure is 'prevent from -ing'.
The jury ______ divided in their opinions.,was,were,is,has,were,Collective nouns are plural when members act individually.
My trousers ______ dirty.,is,are,was,has,are,Pants/trousers are always plural.
The scissors ______ on the table.,is,are,was,has,are,Scissors are always plural.
Fifty dollars ______ too much to pay.,is,are,were,have,is,Amounts of money are singular.
Measles ______ a contagious disease.,is,are,were,have,is,Diseases ending in 's' are usually singular.
There ______ a lot of people at the party.,was,were,is,has,were,'People' is plural so the verb is plural.
